age,area,district,floor,location,mode,price
2013,55,昌平,中层(共15层),龙山华府,1室1厅1卫,46000
1992,58,朝阳,中层(共12层),秀水园小区,2室1厅1卫,71440
2014,382,顺义,共4层,誉天下,4室1厅4卫,36623
2012,93,大兴,中层(共6层),首地浣溪谷,3室1厅1卫,35245
1982,63,昌平,高层(共6层),商业街工商局宿舍,2室1厅1卫,37676
2000,157,朝阳,高层(共22层),盛世嘉园,3室2厅1卫,71070
1997,71,大兴,低层(共6层),清和园,2室1厅1卫,42615
2000,91,密云,中层(共6层),果园西里小区,2室2厅1卫,24175
2016,83,北京周边,高层(共24层),桃源新都孔雀城,2室1厅1卫,9638
2005,72,密云,低层(共6层),康居南区,2室1厅1卫,23333
1996,92,东城,低层(共6层),仓南胡同14号院,3室1厅1卫,108342
2006,354,海淀,中层(共9层),万城华府龙园,5室3厅4卫,223163
1995,86,昌平,低层(共6层),燕城苑北区,2室2厅1卫,38372
2005,94,朝阳,低层(共25层),苹果社区(南区),2室1厅1卫,79609
2015,84,大兴,中层(共28层),保利春天里,2室1厅1卫,41666
2017,125,北京周边,共2层,阳光城,3室2厅2卫,21600
2006,380,顺义,共3层,龙湾别墅,5室3厅3卫,63131
1998,98,朝阳,高层(共22层),世纪村(三区),2室2厅1卫,60642
2003,125,昌平,共3层,龙脉温泉花园,3室2厅2卫,26160
2010,45,北京周边,高层(共12层),星河185,2室1厅2卫,32222
2012,57,昌平,中层(共16层),三合庄园,2室2厅1卫,42982
1996,58,大兴,高层(共6层),富强西里,2室1厅1卫,41180
2005,360,海淀,共5层,万城华府玺园,4室2厅3卫,163555
2018,45,北京周边,中层(共23层),首尔甜城,2室1厅1卫,15555
2000,90,朝阳,低层(共27层),金隅丽景园,3室1厅1卫,44101
2013,85,北京周边,中层(共28层),潮白河孔雀城紫藤园,2室2厅1卫,17058
2012,205,北京周边,地下(共3层),世茂萨拉曼卡(别墅),5室3厅4卫,22439
2010,70,朝阳,高层(共22层),金隅丽景园,2室1厅1卫,39285
2000,89,朝阳,中层(共26层),望京西园四区,2室1厅1卫,66292
1986,61,房山,中层(共6层),迎风四里,2室1厅1卫,19672
2008,233,朝阳,高层(共60层),御金台,3室2厅3卫,137160
2017,138,北京周边,中层(共28层),九锦御府,4室2厅2卫,13405
2014,70,西城,中层(共19层),锦上国际公寓,1室1厅1卫,80034
1985,37,海淀,低层(共6层),首体家属院,1室1厅1卫,108108
2000,185,东城,低层(共18层),上龙西里社区,3室2厅2卫,94288
